将棋で歩がなると？,と
桑原水菜のボーイズ・ラブ小説『炎の○○○』？,ミラージュ
将棋で、うっかりしたミスで自玉が詰んでしまうことを何という？,とんし
将棋で、初段並みの実力を持つ人のことをこう呼びます,いなかしょだん
小説『スレイヤーズ』でリナが多用する大地系攻撃呪文,ダムブラス
小説『ロードス島戦記』の挿絵も手がけたマルチクリエーター,いずぶちゆたか
小説『今日からマのつく自由業！』の作者は？,たかばやしとも
小野不由美が書くファンタジー小説シリーズ,じゅうにこくき
食玩やトレカを箱で買うこと,おとなかい
人気ファンタジー小説『スレイヤーズ！』の著者,かんざかはじめ
数多くのゲーム音楽を手がける音楽制作集団,アイヴ
千葉紗子と女性デュオtiarawayを組んでいた声優,なんりゆうか
大学生の時に『ウルトラＱ』のナレーターをしていました,いしざかこうじ
大鷲の健やガルマ・ザビでおなじみのベテラン声優,もりかつじ
東京国際映画祭をプロデュースしている角川書店の会長,かどかわつぐひこ
日本古来のカードゲームです,かるた
日本初のカラーＴＶアニメ『ジャングル大帝』の音楽を担当,とみたいさお
箸で丸太をくみ上げるパーティーゲームです,むさし
北島三郎が歌うアニメ『おじゃる丸』の主題歌,うたびと
本名を藤川正治という現在は引退したアニメ歌手,しもんまさと
麻雀で、あと１枚でテンパイする状態です,イーシャンテン
麻雀で、これをする時には千点棒を場に出します,リーチ
麻雀の役で、配牌の時にすでにあがりの形が完成している状態,テンホー
川に住んでいる生き物です。,やまめ
「柿食えば鐘が鳴る成り法隆寺」の句で有名,まさおかしき
マリオシリーズのヒロインといえば○○○姫？,ピーチ
『ヒカルの碁』に登場するアキラの父,とうやようこう
奥菜恵主演のホラー映画,おとぎりそう
「雨上がり決死隊」の宮迫博之の相方,ほとはらとおる
日本家屋の家具の一つ,しょうじ
『美少女戦士セーラームーン』のタキシード仮面,ちばまもる
羽根突きで使用,はごいた
『鋼の錬金術師』でエドが失敗したもの,じんたいれんせい
『お－い龍馬』『織部金治郎』の原作者,たけだてつや
『ストリートファイターII』でのケンの必殺技,しょうりゅうけん
『けっきょく南極大冒険』の主人公である動物,ペンギン
日本将棋連盟が発行している雑誌,しょうぎせかい
『用心棒２』の副題,もうそうでん
『ケロロ軍曹』『アーケードゲーマーふぶき』の作者,よしざきみね
2002年に引退しました,コンコルド
『おじゃる丸』の舞台となっている町名,げっこうちょう
つりで、糸がからまること,まつり
『鉄腕アトム』のお茶の水博士が所属,かがくしょう
『魔女の宅急便』で空を飛ぶことに熱中している少年,トンボ
リカちゃんの名字,かやま
囲碁、将棋のプロの名称,きし
つりキチ三平の本名,みひらさんぺい
『キャッツアイ』の次女の名前,ひとみ
白・発・中でできる役,だいさんげん
楳図かずおの作品『○○教室』,ひょうりゅう
『満月をさがして』主人公,こうやまみつき
ガンバ大阪監督,にしのあきら
1866年「○○同盟」,さっちょう
ブログが人気の力士,ふてんおういづみ
『仮面ライダークウガ』で古代文字を解読,さわたりさくらこ
『シスタープリンセス』12人目の妹,アリア
石器と鉄器の間の時代「○○○時代」,せいどうき
Tubeのボーカル,まえだのぶてる
2001年に日本テレビに入社したアナウンサー,あべあきこ
オカリナ演奏の第一人者,そうじろう
ショムニなどに出演「○○マキコ」,えすみ
高校生クイズのメインスポンサー,ライオン
シングル『Wonderful,Life』をリリースしたときのスマップの稲垣吾郎の名前です
パンダカーとも言います,パトカー
鉄拳、ストリートファイターなどの分野,たいせんかくとう
これを見て万有引力を発見した人,ニュートン
オートバイ、楽器製造が盛ん,はままつ
暖流と寒流がぶつかる場所,しおめ
演歌歌手山川豊の兄,とばいちろう
関西国際空港の設計者はレンゾ・○○○,ピアノ
捕鯨をあらわす冬の季語,いさなとり
夏目漱石,ぐびじんそう
原子番号80、化学式Hg,すいぎん
10の-15乗,しゅゆ
ヨーロッパから見て日本などはこのように呼ばれます,きょくとう
名探偵コナンの映画サブタイトル「水平線上の○○」,ストラテジー
惑星が止まって見える現象,りゅう
ひらがなでも一文字の都市です,つ
「枕草子」を書いた人,せいしょうなごん
持たず、作らず、持ち込ませず,さとうえいさく
特有の性質を持つ分子の中の特定の原子団,き
怪盗セイントテール,はねおかめいみ
犬公方と呼ばれたのは徳川○○？,つなよし
フランス語では「ジュレ」,ゼリー
はなわのヒット作,でんせつのおとこ
日本からは見えない星座にひとつです,カメレオン
大火事になる前に消されたことです,ぼや
てこの原理をつかいます,くぎぬき
難読漢字です,わたぬき
ガンバ、浦和に在籍したMF,いそがいひろみつ
1995年の宝塚記念で故障,ライスシャワー
中日の永久欠番である背番号１０の選手です。,はっとりつぐひろ
関西の大手鉄道会社です,はんきゅう
堺市○○○○駅？,なかもず
新谷かおるの漫画,デザートローズ
長野県と群馬県の県境にある山,あずまやさん
ヤマノイモの根にできる球状の芽,むかご
栃木県と群馬県の県境にある山,すかいさん
フジテレビのベテランアナウンサー,さきさかたつおき
「山のアスパラガス」,しおで
『シベリア超特急』で水野晴郎が演じた役,やましたともゆき
氏姓制度の「姓」のひとつ,おびと
沖縄県の伝統的染色で作られた特産品,びんがた
スーパーマリオブラザーズに登場します,クッパ
コンクリートで仕上げた土間、訓読みすると？,たたき
大相撲の番付表の中央に書かれています,ごめんこうむる
そばにつけたり、毎日雨だったりするのは？,つゆ
どうぶつしょうぎでひよこがなると？,にわとり
子供の頃はおじいちゃんおばあちゃんにやってお金をせびったりするが、大人になると上司からされたりする。上から読んでも下から読んでも同じ,かたたたき
飛行機の乗り継ぎで乗継時間を拡大して１チケットで中継地も楽しめちゃうこと,ストップオーバー
タブレットとフォンの中間のデバイスのことを◯◯◯◯ットという,ファブレ
ドラえもんが好きな食べ物はどら◯き,や
ドラえもんのタイムマシンがあるのはどこ？,ひきだし
ドラえもんの道具じゃないのはどれ？ビッグライト、ビックカメラ、ビッグボール,ビックカメラ
チョコボールのキャラクターの名前は？,キョロちゃん
